year,age_group,CoB,population,proportion_age_by_year
2015,5-9,Non-UK born,227216,0.028576851035165038
2015,10-14,UK born,2694281,0.058902613593178554
2015,10-14,Non-UK born,284176,0.03574068384167074
2015,15-19,UK born,2799822,0.06120996042939856
2015,15-19,Non-UK born,331772,0.041726810707163116
2015,20-24,UK born,3052536,0.0667348166309553
2015,20-24,Non-UK born,500655,0.06296714736202799
2015,25-29,UK born,2874588,0.06284450144717198
2015,25-29,Non-UK born,850369,0.10695051509542575
2015,30-34,UK born,2581918,0.05644612357926749
2015,30-34,Non-UK born,1116155,0.14037829715845113
2015,35-39,UK born,2444613,0.0534443493176328
2015,35-39,Non-UK born,994731,0.12510685694256019
2015,40-44,UK born,2814055,0.06152112355576574
2015,40-44,Non-UK born,800121,0.10063084741878778
2015,45-49,UK born,3223826,0.07047957401980062
2015,45-49,Non-UK born,639042,0.08037201622779178
2015,50-69,UK born,11317345,0.24742081447172412
2015,50-69,Non-UK born,1582304,0.19900564088948744
2015,70-89,UK born,5503474,0.12031744366757022
2015,70-89,Non-UK born,521194,0.06555032787489352
2016,0-4,UK born,3313181,0.07215539048198474
2016,0-4,Non-UK born,97146,0.011792703057100397
2016,5-9,UK born,3161487,0.06885175575639196
2016,5-9,Non-UK born,245575,0.02981072873044109
2016,10-14,UK born,2763792,0.06019064185475698
2016,10-14,Non-UK born,277930,0.03373835217775218
2016,15-19,UK born,2739536,0.059662387844024986
2016,15-19,Non-UK born,341789,0.04149029486734696
2016,20-24,UK born,2986047,0.06503097394394061
2016,20-24,Non-UK born,536391,0.06511333236058242
2016,25-29,UK born,2845250,0.061964657158442925
2016,25-29,Non-UK born,938238,0.1138941606539411
2016,30-34,UK born,2617200,0.056998119924462465
2016,30-34,Non-UK born,1101390,0.13369943404833762
2016,35-39,UK born,2503773,0.05452787472017085
2016,35-39,Non-UK born,1013223,0.12299670567624438
2016,40-44,UK born,2678261,0.058327923608058524
2016,40-44,Non-UK born,830442,0.10080863763968222
2016,45-49,UK born,3162409,0.06887183533249251
2016,45-49,Non-UK born,688657,0.08359713739313598
2016,50-69,UK born,11487723,0.2501828722348333
2016,50-69,Non-UK born,1605398,0.1948817439983413
2016,70-89,UK born,5658645,0.12323556714044012
2016,70-89,Non-UK born,561627,0.06817676939709433
